Tweet_count,Username,Location,Created At,Likes,Text
1,Hustler,"🇦🇷,🇦🇺",Wed Dec 11 11:26:01 +0000 2024,3366,"""Mom, he won IPL with ₹50L Rahane""😂 https://t.co/uRVTRXw0vp"
2,𝙍`𝙎𝙖𝙢,Rocket Raja Rutu 👑,Tue Dec 10 14:13:31 +0000 2024,375,"""Coming for IPL 2025""👑
Kaththi BGM Edit ft. CONWAY 👑🛐 https://t.co/vk3ua9OYQ2"
3,Cricket ka kachra IPL,,Wed Dec 11 12:46:11 +0000 2024,11,"Fair enough welcome back Sachin Tendulkar 🙏
https://t.co/6nw01kP8hm"
4,Johns,,Tue Dec 10 18:33:36 +0000 2024,2835,"Babar Azam spent 15 minutes adjusting the sight-screen, survived a run-out and still got out for a duck vs 18 yr IPL kid Maphaka.

Imagine being this bad 😭 

#SAvPAK https://t.co/XlcLOVizSm"
5,Vinay,,Tue Dec 10 16:23:59 +0000 2024,971,"As I promised, BHUVI's last 2 years all  IPL Wickets 

Swing king Bhuvi will play for RCB in IPL2025 🔥https://t.co/QU20ckNFrF"
6,Cricbuzz,,Sat Oct 26 14:41:10 +0000 2024,12113,"MS Dhoni will feature in the 2025 edition of the IPL🔥

#ChennaiSuperKings #MSDhoni #t20 https://t.co/AASfGKSQA3"
7,MSDian™,,Tue Dec 10 11:05:07 +0000 2024,2987,"Super flight landed in chennai 🦁🔥

#WhistlePodu #IPL #CSK @MSDhoni
https://t.co/0geV7jjgm8"
8,MAHIYANK™,,Sat May 18 18:39:08 +0000 2024,19613,"If God is Real , He won't let him touch the IPL Trophy. https://t.co/l2sux1EwYI"
9,Punjab Kings,"Punjab, India",Tue Apr 09 17:43:34 +0000 2024,28467,"So close 💔

That was a good game, #OrangeArmy 🤝

#TATAIPL2024 #PBKSvSRH https://t.co/5Kd1tKysrA"
10,03:48,"Hyderabad, India",Tue Dec 10 13:16:04 +0000 2024,630,Suresh Raina first six in ipl @ImRaina https://t.co/CtWuJlwP33
11,Aditya,India,Wed Dec 11 07:03:25 +0000 2024,33,"MS Dhoni all boundaries in IPL 2018
https://t.co/M2QG8q8xPd"
12,IANS,New Delhi,Wed Dec 11 06:53:15 +0000 2024,15,"Bhopal, Madhya Pradesh: When asked, ""How important will it be for Punjab Kings to have Shreyas Iyer join the team?"", Punjab Kings batter Shashank Singh says, ""Yes, it will be very important. Winning an IPL is a big achievement, and Shreyas won the last IPL... He is a very smart https://t.co/yKflNCnzFZ"
13,`,,Wed Dec 11 08:10:27 +0000 2024,1235,"Raina :

Lots of IPL franchises offered me when I was playing for CSK. When I discussed it with Mahi bhai, he told me, 'Tu kahin nahi jayega' (you won't go anywhere).

And he preferred CSK over money 🫡💛 https://t.co/FTUbDQOYAw"
14,Mufaddal Parody,Kohli Era,Sun Nov 24 11:32:47 +0000 2024,41903,"RCB saving their money to Buy IPL Trophy🏆😭😭
#IPLAuction https://t.co/qiGGQOEMIt"
15,Maha,,Thu Dec 05 16:01:37 +0000 2024,1342,"Happy Birthday to the man who hit the most clutch boundary in the history of the IPL and saved millions of us from heartbreak and trauma 

 ""Oh jadejaaaaa.....Never bet against MS Dhoni and CSK"" will be etched in my memory eternally 🙏🏼💛

Forever grateful Sir Ravindra Jadeja https://t.co/648lc0BftZ"
